drones,trail_mode,underwater,view,ortho,sidebar,resolution,framebuffer,mem_mb,vram_free_mb,cpu_pct,fps_min,fps_1pct,fps_5pct,fps_median,fps_avg,fps_max,ft_min,ft_p50,ft_p95,ft_p99,ft_avg,ft_max,update_ms,draw_ms,samples
1,0,0,0,0,0,1920x1080,1920x1080,238,11303,80.3,769.0,791.0,858.0,996.0,982.5,1121.0,0.672,0.911,1.697,2.125,1.010,5.009,0.004,1.005,299
4,0,0,0,0,0,1920x1080,1920x1080,253,11303,96.1,17.0,17.0,834.0,941.0,930.9,1049.0,0.615,0.922,1.644,2.210,1.010,6.491,0.007,1.026,299
9,0,0,0,0,0,1920x1080,1920x1080,263,11303,113.9,8.0,8.0,744.0,921.0,890.4,1038.0,0.617,0.938,1.740,2.196,13.936,3646.863,0.012,1.042,283
16,0,0,0,0,0,1920x1080,1920x1080,279,11299,139.2,2.0,2.0,721.0,941.0,910.2,1068.0,0.732,0.982,2.019,6.456,26.039,6352.805,0.019,1.047,256
32,0,0,0,0,0,1920x1080,1920x1080,312,11295,189.1,1.0,1.0,629.0,891.0,840.8,1065.0,0.690,0.966,1.801,6.569,65.919,12560.812,0.038,1.062,194
64,0,0,0,0,0,1920x1080,1920x1080,389,11287,181.4,1.0,1.0,1.0,494.0,453.2,623.0,0.906,1.659,7.783,25114.871,380.790,25114.871,0.148,1.700,67
1,1,0,0,0,0,1920x1080,1920x1080,238,11303,81.5,643.0,682.0,778.0,946.0,929.7,1094.0,0.722,0.930,1.761,6.542,1.132,7.328,0.004,1.018,299
4,1,0,0,0,0,1920x1080,1920x1080,255,11302,107.6,18.0,638.0,746.0,950.0,926.2,1092.0,0.697,0.950,1.587,1.970,1.040,7.924,0.007,1.046,299
9,1,0,0,0,0,1920x1080,1920x1080,264,11302,129.2,8.0,8.0,807.0,930.0,911.4,1084.0,0.756,0.963,1.772,5.656,14.023,3648.393,0.011,1.058,282
16,1,0,0,0,0,1920x1080,1920x1080,280,11298,159.2,2.0,2.0,669.0,866.0,837.5,1041.0,0.674,0.979,1.813,6.564,26.209,6389.512,0.018,1.080,255
32,1,0,0,0,0,1920x1080,1920x1080,313,11294,220.0,1.0,1.0,648.0,830.0,804.6,987.0,0.710,1.043,1.681,6.035,66.467,12606.181,0.035,1.112,193
64,1,0,0,0,0,1920x1080,1920x1080,393,11282,216.5,1.0,1.0,1.0,428.0,377.9,508.0,1.290,2.434,7.011,25085.613,380.751,25085.613,0.172,2.156,67
16,0,0,0,0,0,1920x1080,1920x1080,279,11299,139.1,2.0,2.0,752.0,953.0,927.9,1073.0,0.790,0.956,1.769,2.274,25.845,6331.911,0.018,1.041,256
16,1,0,0,0,0,1920x1080,1920x1080,280,11298,160.4,2.0,2.0,777.0,894.0,875.5,1064.0,0.776,0.994,1.780,5.707,26.278,6416.005,0.018,1.067,255
16,2,0,0,0,0,1920x1080,1920x1080,280,11298,180.1,2.0,2.0,685.0,846.0,826.1,1029.0,0.803,1.091,1.762,2.018,26.170,6371.756,0.017,1.127,255
16,1,1,0,0,0,1920x1080,1920x1080,280,11298,158.6,2.0,2.0,651.0,859.0,832.3,1013.0,0.804,1.014,1.850,6.895,26.366,6404.250,0.018,1.113,255
16,1,0,0,1,0,1920x1080,1920x1080,280,11298,161.4,2.0,2.0,604.0,780.0,756.1,906.0,0.684,1.113,2.033,5.175,26.224,6358.071,0.019,1.215,255
16,1,0,0,0,1,1920x1080,1920x1080,296,11282,205.3,2.0,2.0,179.0,350.0,358.2,600.0,0.913,2.792,5.647,6.612,28.284,6404.367,0.024,0.897,253
64,0,0,0,0,0,1920x1080,1920x1080,385,11287,195.2,1.0,1.0,1.0,543.0,494.4,668.0,1.072,1.655,3.219,24768.289,354.096,24768.289,0.138,1.674,71
64,1,0,0,0,0,1920x1080,1920x1080,390,11282,210.3,1.0,1.0,1.0,440.0,380.1,556.0,1.108,2.310,4.605,25185.092,387.868,25185.092,0.173,2.178,66
64,2,0,0,0,0,1920x1080,1920x1080,398,11274,180.8,1.0,1.0,1.0,129.0,175.0,461.0,1.795,7.997,12.454,25109.938,390.979,25109.938,0.312,4.651,66
64,1,1,0,0,0,1920x1080,1920x1080,390,11282,211.1,1.0,1.0,1.0,432.0,380.1,508.0,1.058,2.338,4.108,25135.082,381.296,25135.082,0.170,2.178,67
64,1,0,0,1,0,1920x1080,1920x1080,390,11282,216.1,1.0,1.0,1.0,415.0,377.9,562.0,1.237,2.419,4.256,25123.539,381.089,25123.539,0.174,2.214,67
64,1,0,0,0,1,1920x1080,1920x1080,394,11278,200.8,1.0,1.0,1.0,126.0,113.2,164.0,5.143,7.960,11.677,25188.258,399.418,25188.258,0.512,3.112,65
16,2,1,0,0,1,1920x1080,1920x1080,307,11271,158.7,2.0,2.0,53.0,85.0,131.4,508.0,1.217,11.850,19.123,20.615,37.091,6378.220,0.050,2.011,244
64,2,1,0,0,1,1920x1080,1920x1080,397,11278,184.6,1.0,1.0,1.0,61.0,68.2,147.0,5.580,15.890,22.524,24988.457,408.876,24988.457,0.766,3.889,64
16,0,0,4,0,0,1920x1080,1920x1080,279,11299,125.7,2.0,2.0,653.0,835.0,811.0,953.0,0.810,1.076,1.901,6.631,26.257,6389.619,0.020,1.192,255
16,2,0,4,0,0,1920x1080,1920x1080,292,11286,155.6,2.0,2.0,127.0,307.0,383.9,844.0,1.004,3.165,7.554,9.098,28.620,6379.338,0.023,2.455,253
64,0,0,4,0,0,1920x1080,1920x1080,393,11287,176.9,1.0,1.0,1.0,450.0,415.1,578.0,1.313,1.623,7.063,25210.469,388.636,25210.469,0.165,1.716,66
64,2,0,4,0,0,1920x1080,1920x1080,406,11270,173.0,1.0,1.0,1.0,121.0,168.3,428.0,1.540,7.702,12.153,25193.135,399.174,25193.135,0.367,4.799,65
